# IdName | Kind | Type  (Type: Tech, Dirt, Ice, Water, Plastic, Grass, Snow, Rally, Bump, Scenery, Other)
SnowRoadStraight | Track | Snow
RoadTechDiagSwitchCurve1Out | Track | Tech
RoadIceWithWallDiagSwitchCurve1Out | Track | Ice
RallyCastleRoadDiagSwitchCurve2Out | Track | Rally
RoadTechDiagSwitchCurve2Out | Track | Tech
RoadIceWithWallDiagSwitchCurve2Out | Track | Ice
RallyCastleRoadDiagSwitchStraightX1 | Track | Rally
RoadTechDiagSwitchStraightX1 | Track | Tech
RoadIceWithWallDiagSwitchStraightX1 | Track | Ice
RallyCastleRoadDiagSwitchStraightX2 | Track | Rally
RoadTechDiagSwitchStraightX2 | Track | Tech
RoadIceWithWallDiagSwitchStraightX2 | Track | Ice
RoadTechDiagSwitchCurve1In | Track | Tech
RoadIceWithWallDiagSwitchCurve1In | Track | Ice
RoadTechDiagSwitchCurve2In | Track | Tech
RoadIceWithWallDiagSwitchCurve2In | Track | Ice
RoadTechBranchToDiagLeft | Track | Tech
RoadTechBranchToDiagRight | Track | Tech
RoadWaterCheckpoint | Track | Water
RoadTechCheckpoint | Track | Tech
RoadTechCheckpointSlopeUp | Track | Tech
RoadTechCheckpointSlopeDown | Track | Tech
RoadTechCheckpointTiltLeft | Track | Tech
RoadTechCheckpointTiltRight | Track | Tech
RoadTechDiagLeftCheckpoint | Track | Tech
RoadIceWithWallDiagLeftMultilapRight | Track | Ice
RoadIceWithWallDiagLeftMultilapLeft | Track | Ice
RoadIceWithWallDiagLeftCheckpointRight | Track | Ice
RoadIceWithWallDiagLeftCheckpointLeft | Track | Ice
RoadTechDiagRightCheckpoint | Track | Tech
RoadIceWithWallDiagRightMultilapRight | Track | Ice
RoadIceWithWallDiagRightMultilapLeft | Track | Ice
RoadIceWithWallDiagRightCheckpointRight | Track | Ice
RoadIceWithWallDiagRightCheckpointLeft | Track | Ice
RoadWaterStart | Track | Water
RoadTechStart | Track | Tech
RoadWaterFinish | Track | Water
RoadTechFinish | Track | Tech
RoadWaterMultilap | Track | Water
RoadTechMultilap | Track | Tech
RoadTechDiagLeftMultilap | Track | Tech
RoadTechDiagRightMultilap | Track | Tech
RoadWaterSpecialTurboRoulette | Track | Water
RoadWaterSpecialTurbo2 | Track | Water
RoadWaterSpecialTurbo | Track | Water
RoadWaterSpecialSlowMotion | Track | Water
RoadWaterSpecialReset | Track | Water
RoadWaterSpecialNoSteering | Track | Water
RoadWaterSpecialNoEngine | Track | Water
RoadWaterSpecialNoBrake | Track | Water
RoadWaterSpecialFragile | Track | Water
RoadWaterSpecialCruise | Track | Water
RoadWaterSpecialBoost2 | Track | Water
RoadWaterSpecialBoost | Track | Water
RoadTechSpecialTurbo | Track | Tech
RoadTechSpecialTurbo2 | Track | Tech
RoadTechSpecialTurboRoulette | Track | Tech
RoadTechSpecialBoost2 | Track | Tech
RoadTechSpecialBoost | Track | Tech
RoadTechSpecialNoEngine | Track | Tech
RoadTechSpecialNoSteering | Track | Tech
RoadTechSpecialSlowMotion | Track | Tech
RoadTechSpecialFragile | Track | Tech
RoadTechSpecialReset | Track | Tech
RoadTechSpecialNoBrake | Track | Tech
RoadTechSpecialCruise | Track | Tech
RoadTechSpecialTurboSlopeUp | Track | Tech
RoadTechSpecialBoostSlopeUp | Track | Tech
RoadTechSpecialBoost2SlopeUp | Track | Tech
RoadTechSpecialTurbo2SlopeUp | Track | Tech
RoadTechSpecialTurboRouletteSlopeUp | Track | Tech
RoadTechSpecialNoEngineSlope | Track | Tech
RoadTechSpecialNoSteeringSlope | Track | Tech
RoadTechSpecialSlowMotionSlope | Track | Tech
RoadTechSpecialFragileSlope | Track | Tech
RoadTechSpecialResetSlope | Track | Tech
RoadTechSpecialNoBrakeSlope | Track | Tech
RoadTechSpecialCruiseSlope | Track | Tech
RoadTechSpecialTurboSlopeDown | Track | Tech
RoadTechSpecialBoostSlopeDown | Track | Tech
RoadTechSpecialBoost2SlopeDown | Track | Tech
RoadTechSpecialTurbo2SlopeDown | Track | Tech
RoadTechSpecialTurboRouletteSlopeDown | Track | Tech
RoadTechSpecialTurboTiltLeft | Track | Tech
RoadTechSpecialBoostTiltLeft | Track | Tech
RoadTechSpecialBoost2TiltLeft | Track | Tech
RoadTechSpecialTurbo2TiltLeft | Track | Tech
RoadTechSpecialTurboRouletteTiltLeft | Track | Tech
RoadTechSpecialNoEngineTilt | Track | Tech
RoadTechSpecialNoSteeringTilt | Track | Tech
RoadTechSpecialSlowMotionTilt | Track | Tech
RoadTechSpecialFragileTilt | Track | Tech
RoadTechSpecialResetTilt | Track | Tech
RoadTechSpecialNoBrakeTilt | Track | Tech
RoadTechSpecialCruiseTilt | Track | Tech
RoadTechSpecialTurboTiltRight | Track | Tech
RoadTechSpecialBoostTiltRight | Track | Tech
RoadTechSpecialBoost2TiltRight | Track | Tech
RoadTechSpecialTurbo2TiltRight | Track | Tech
RoadTechSpecialTurboRouletteTiltRight | Track | Tech
RoadTechSpecialTurboDiagLeft | Track | Tech
RoadIceWithWallDiagLeftSpecialTurboRouletteRight | Track | Ice
RoadIceWithWallDiagLeftSpecialTurboRouletteLeft | Track | Ice
RoadIceWithWallDiagLeftSpecialTurboRight | Track | Ice
RoadIceWithWallDiagLeftSpecialTurboLeft | Track | Ice
RoadIceWithWallDiagLeftSpecialTurbo2Right | Track | Ice
RoadIceWithWallDiagLeftSpecialTurbo2Left | Track | Ice
RoadIceWithWallDiagLeftSpecialSlowMotion | Track | Ice
RoadIceWithWallDiagLeftSpecialReset | Track | Ice
RoadIceWithWallDiagLeftSpecialNoSteering | Track | Ice
RoadIceWithWallDiagLeftSpecialNoEngine | Track | Ice
RoadIceWithWallDiagLeftSpecialNoBrake | Track | Ice
RoadIceWithWallDiagLeftSpecialFragile | Track | Ice
RoadIceWithWallDiagLeftSpecialCruise | Track | Ice
RoadIceWithWallDiagLeftSpecialBoostRight | Track | Ice
RoadIceWithWallDiagLeftSpecialBoostLeft | Track | Ice
RoadIceWithWallDiagLeftSpecialBoost2Right | Track | Ice
RoadIceWithWallDiagLeftSpecialBoost2Left | Track | Ice
RoadTechSpecialTurbo2DiagLeft | Track | Tech
RoadTechSpecialTurboRouletteDiagLeft | Track | Tech
RoadTechSpecialBoostDiagLeft | Track | Tech
RoadTechSpecialBoost2DiagLeft | Track | Tech
RoadTechSpecialNoEngineDiagLeft | Track | Tech
RoadTechSpecialNoSteeringDiagLeft | Track | Tech
RoadTechSpecialSlowMotionDiagLeft | Track | Tech
RoadTechSpecialFragileDiagLeft | Track | Tech
RoadTechSpecialResetDiagLeft | Track | Tech
RoadTechSpecialNoBrakeDiagLeft | Track | Tech
RoadTechSpecialCruiseDiagLeft | Track | Tech
RoadTechSpecialTurboDiagRight | Track | Tech
RoadIceWithWallDiagRightSpecialTurboRouletteRight | Track | Ice
RoadIceWithWallDiagRightSpecialTurboRouletteLeft | Track | Ice
RoadIceWithWallDiagRightSpecialTurboRight | Track | Ice
RoadIceWithWallDiagRightSpecialTurboLeft | Track | Ice
RoadIceWithWallDiagRightSpecialTurbo2Right | Track | Ice
RoadIceWithWallDiagRightSpecialTurbo2Left | Track | Ice
RoadIceWithWallDiagRightSpecialSlowMotion | Track | Ice
RoadIceWithWallDiagRightSpecialReset | Track | Ice
RoadIceWithWallDiagRightSpecialNoSteering | Track | Ice
RoadIceWithWallDiagRightSpecialNoEngine | Track | Ice
RoadIceWithWallDiagRightSpecialNoBrake | Track | Ice
RoadIceWithWallDiagRightSpecialFragile | Track | Ice
RoadIceWithWallDiagRightSpecialCruise | Track | Ice
RoadIceWithWallDiagRightSpecialBoostRight | Track | Ice
RoadIceWithWallDiagRightSpecialBoostLeft | Track | Ice
RoadIceWithWallDiagRightSpecialBoost2Right | Track | Ice
RoadIceWithWallDiagRightSpecialBoost2Left | Track | Ice
RoadTechSpecialTurbo2DiagRight | Track | Tech
RoadTechSpecialTurboRouletteDiagRight | Track | Tech
RoadTechSpecialBoostDiagRight | Track | Tech
RoadTechSpecialBoost2DiagRight | Track | Tech
RoadTechSpecialNoEngineDiagRight | Track | Tech
RoadTechSpecialNoSteeringDiagRight | Track | Tech
RoadTechSpecialSlowMotionDiagRight | Track | Tech
RoadTechSpecialFragileDiagRight | Track | Tech
RoadTechSpecialResetDiagRight | Track | Tech
RoadTechSpecialNoBrakeDiagRight | Track | Tech
RoadTechSpecialCruiseDiagRight | Track | Tech
RoadTechRampLow | Track | Tech
RoadTechRampMed | Track | Tech
RoadTechRampHigh | Track | Tech
RoadTechRampVeryHigh | Track | Tech
RoadDirtStraight | Track | Dirt
RoadDirtNarrowSide | Track | Dirt
RoadDirtNarrowCenter | Track | Dirt
RoadDirtBranchTShaped | Track | Dirt
RoadDirtBranchCross | Track | Dirt
RoadDirtCurve1 | Track | Dirt
RoadDirtCurve2 | Track | Dirt
RoadDirtCurve3 | Track | Dirt
RoadDirtCurve5 | Track | Dirt
RoadDirtCurve4 | Track | Dirt
RoadDirtBranchStraightX4Left | Track | Dirt
RoadDirtBranchCurve3Right | Track | Dirt
RoadDirtBranchCurve3Left | Track | Dirt
RoadDirtBranchStraightX4Right | Track | Dirt
RoadDirtSlopeBase | Track | Dirt
RoadDirtSlopeBase2 | Track | Dirt
RoadDirtSlopeBase2x1 | Track | Dirt
RoadDirtSlopeStart2x1 | Track | Dirt
RoadDirtSlopeStraight | Track | Dirt
RoadDirtSlopeHole | Track | Dirt
RoadDirtNarrowSlopeRight | Track | Dirt
RoadDirtNarrowSlopeLeft | Track | Dirt
RoadDirtNarrowSlopeCenter | Track | Dirt
RoadDirtSlopeEnd2x1 | Track | Dirt
RoadDirtSlopeUTop | Track | Dirt
RoadDirtSlopeUBottom | Track | Dirt
RoadDirtSlopeUBottomInGround | Track | Dirt
RoadDirtSlopeUTopX2 | Track | Dirt
RoadDirtSlopeUBottomX2 | Track | Dirt
RoadDirtSlopeUBottomX2InGround | Track | Dirt
RoadDirtTiltStraight | Track | Dirt
RoadDirtTiltHole | Track | Dirt
RoadDirtNarrowTiltRight | Track | Dirt
RoadDirtNarrowTiltLeft | Track | Dirt
RoadDirtNarrowTiltCenter | Track | Dirt
RoadDirtTiltSwitchLeft | Track | Dirt
RoadDirtTiltSwitchRight | Track | Dirt
RoadDirtTiltCurve1Out | Track | Dirt
RoadDirtTiltCurve1 | Track | Dirt
RoadDirtTiltCurve2Out | Track | Dirt
RoadDirtTiltCurve2 | Track | Dirt
RoadDirtTiltCurve3Out | Track | Dirt
RoadDirtTiltCurve3 | Track | Dirt
RoadDirtTiltCurve4Out | Track | Dirt
RoadDirtTiltCurve4 | Track | Dirt
RoadDirtTiltCurve1DownLeft | Track | Dirt
RoadDirtTiltCurve1DownRight | Track | Dirt
RoadDirtTiltCurve1UpLeft | Track | Dirt
RoadDirtTiltCurve1UpRight | Track | Dirt
RoadDirtTiltCurve2DownLeft | Track | Dirt
RoadDirtTiltCurve2DownRight | Track | Dirt
RoadDirtTiltCurve2UpLeft | Track | Dirt
RoadDirtTiltCurve2UpRight | Track | Dirt
RoadDirtTiltTransition1UpLeft | Track | Dirt
RoadDirtTiltTransition1DownLeft | Track | Dirt
RoadDirtTiltTransition2UpLeft | Track | Dirt
RoadDirtTiltTransition2DownLeft | Track | Dirt
RoadDirtTiltTransition2UpLeftCurveIn | Track | Dirt
RoadDirtTiltTransition2DownLeftCurveIn | Track | Dirt
RoadDirtTiltTransition1UpRight | Track | Dirt
RoadDirtTiltTransition1DownRight | Track | Dirt
RoadDirtTiltTransition2UpRight | Track | Dirt
RoadDirtTiltTransition2DownRight | Track | Dirt
RoadDirtTiltTransition2UpRightCurveIn | Track | Dirt
RoadDirtTiltTransition2DownRightCurveIn | Track | Dirt
RoadDirtDiagLeftStraightX2 | Track | Dirt
RoadDirtDiagLeftPenaltyIce | Track | Dirt
RoadDirtDiagLeftPenaltyDirt | Track | Dirt
RoadDirtDiagLeftPenalty | Track | Dirt
RoadDirtDiagLeftNarrowSide | Track | Dirt
RoadDirtDiagLeftNarrowCenter | Track | Dirt
RoadDirtDiagLeftHole | Track | Dirt
RoadDirtDiagLeftStartStraightX2 | Track | Dirt
RoadDirtDiagLeftStartCurve1In | Track | Dirt
RoadDirtDiagLeftStartCurve2In | Track | Dirt
RoadDirtDiagLeftStartCurve1Out | Track | Dirt
RoadDirtDiagLeftStartCurve2Out | Track | Dirt
RoadDirtDiagLeftLoop6X | Track | Dirt
RoadIceDiagRightLoop6X | Track | Ice
RoadIceDiagRightLoop11X | Track | Ice
RoadIceDiagLeftLoop6X | Track | Ice
RoadIceDiagLeftLoop11X | Track | Ice
RoadDirtDiagLeftLoop11X | Track | Dirt
RoadDirtDiagRightStraightX2 | Track | Dirt
RoadDirtDiagRightPenaltyIce | Track | Dirt
RoadDirtDiagRightPenaltyDirt | Track | Dirt
RoadDirtDiagRightPenalty | Track | Dirt
RoadDirtDiagRightNarrowSide | Track | Dirt
RoadDirtDiagRightNarrowCenter | Track | Dirt
RoadDirtDiagRightHole | Track | Dirt
RoadDirtDiagRightStartStraightX2 | Track | Dirt
RoadDirtDiagRightStartCurve1In | Track | Dirt
RoadDirtDiagRightStartCurve2In | Track | Dirt
RoadDirtDiagRightStartCurve1Out | Track | Dirt
RoadDirtDiagRightStartCurve2Out | Track | Dirt
RoadDirtDiagRightLoop6X | Track | Dirt
RoadDirtDiagRightLoop11X | Track | Dirt
RoadDirtDiagSwitchCurve1Out | Track | Dirt
RoadDirtDiagSwitchCurve2Out | Track | Dirt
RoadDirtDiagSwitchStraightX1 | Track | Dirt
RoadDirtDiagSwitchStraightX2 | Track | Dirt
RoadDirtDiagSwitchCurve1In | Track | Dirt
RoadDirtDiagSwitchCurve2In | Track | Dirt
RoadDirtBranchToDiagLeft | Track | Dirt
RoadDirtBranchToDiagRight | Track | Dirt
RoadTechToRoadDirt | Track | Dirt
RoadTechToRoadDirtSlopeUp | Track | Dirt
RoadTechToRoadDirtSlopeDown | Track | Dirt
RoadTechToRoadDirtTiltLeft | Track | Dirt
RoadTechToRoadDirtTiltRight | Track | Dirt
RoadTechToRoadDirtDiagLeftStraightX2 | Track | Dirt
RoadTechToRoadDirtDiagRightStraightX2 | Track | Dirt
RoadDirtCheckpoint | Track | Dirt
RoadDirtCheckpointSlopeUp | Track | Dirt
RoadDirtCheckpointSlopeDown | Track | Dirt
RoadDirtCheckpointTiltLeft | Track | Dirt
RoadDirtCheckpointTiltRight | Track | Dirt
RoadDirtDiagLeftCheckpoint | Track | Dirt
RoadDirtDiagRightCheckpoint | Track | Dirt
RoadDirtStart | Track | Dirt
RoadDirtFinish | Track | Dirt
RoadDirtMultilap | Track | Dirt
RoadDirtDiagLeftMultilap | Track | Dirt
RoadDirtDiagRightMultilap | Track | Dirt
RoadDirtSpecialTurbo | Track | Dirt
RoadDirtSpecialTurbo2 | Track | Dirt
RoadDirtSpecialTurboRoulette | Track | Dirt
RoadDirtSpecialBoost2 | Track | Dirt
RoadDirtSpecialBoost | Track | Dirt
RoadDirtSpecialNoEngine | Track | Dirt
RoadDirtSpecialNoSteering | Track | Dirt
RoadDirtSpecialSlowMotion | Track | Dirt
RoadDirtSpecialFragile | Track | Dirt
RoadDirtSpecialReset | Track | Dirt
RoadDirtSpecialNoBrake | Track | Dirt
RoadDirtSpecialCruise | Track | Dirt
RoadDirtSpecialTurboSlopeUp | Track | Dirt
RoadDirtSpecialBoostSlopeUp | Track | Dirt
RoadDirtSpecialBoost2SlopeUp | Track | Dirt
RoadDirtSpecialTurbo2SlopeUp | Track | Dirt
RoadDirtSpecialTurboRouletteSlopeUp | Track | Dirt
RoadDirtSpecialNoEngineSlope | Track | Dirt
RoadDirtSpecialNoSteeringSlope | Track | Dirt
RoadDirtSpecialSlowMotionSlope | Track | Dirt
RoadDirtSpecialFragileSlope | Track | Dirt
RoadDirtSpecialResetSlope | Track | Dirt
RoadDirtSpecialNoBrakeSlope | Track | Dirt
RoadDirtSpecialCruiseSlope | Track | Dirt
RoadDirtSpecialTurboSlopeDown | Track | Dirt
RoadDirtSpecialBoostSlopeDown | Track | Dirt
RoadDirtSpecialBoost2SlopeDown | Track | Dirt
RoadDirtSpecialTurbo2SlopeDown | Track | Dirt
RoadDirtSpecialTurboRouletteSlopeDown | Track | Dirt
RoadDirtSpecialTurboTiltRight | Track | Dirt
RoadDirtSpecialBoostTiltRight | Track | Dirt
RoadDirtSpecialBoost2TiltRight | Track | Dirt
RoadDirtSpecialTurbo2TiltRight | Track | Dirt
RoadDirtSpecialTurboRouletteTiltRight | Track | Dirt
RoadDirtSpecialNoEngineTilt | Track | Dirt
RoadDirtSpecialNoSteeringTilt | Track | Dirt
RoadDirtSpecialSlowMotionTilt | Track | Dirt
RoadDirtSpecialFragileTilt | Track | Dirt
RoadDirtSpecialResetTilt | Track | Dirt
RoadDirtSpecialNoBrakeTilt | Track | Dirt
RoadDirtSpecialCruiseTilt | Track | Dirt
RoadDirtSpecialTurboTiltLeft | Track | Dirt
RoadDirtSpecialBoostTiltLeft | Track | Dirt
RoadDirtSpecialBoost2TiltLeft | Track | Dirt
RoadDirtSpecialTurbo2TiltLeft | Track | Dirt
RoadDirtSpecialTurboRouletteTiltLeft | Track | Dirt
RoadDirtSpecialTurboDiagLeft | Track | Dirt
RoadDirtSpecialTurbo2DiagLeft | Track | Dirt
RoadDirtSpecialTurboRouletteDiagLeft | Track | Dirt
RoadDirtSpecialBoostDiagLeft | Track | Dirt
RoadDirtSpecialBoost2DiagLeft | Track | Dirt
RoadDirtSpecialNoEngineDiagLeft | Track | Dirt
RoadDirtSpecialNoSteeringDiagLeft | Track | Dirt
RoadDirtSpecialSlowMotionDiagLeft | Track | Dirt
RoadDirtSpecialFragileDiagLeft | Track | Dirt
RoadDirtSpecialResetDiagLeft | Track | Dirt
RoadDirtSpecialNoBrakeDiagLeft | Track | Dirt
RoadDirtSpecialCruiseDiagLeft | Track | Dirt
RoadDirtSpecialTurboDiagRight | Track | Dirt
RoadDirtSpecialTurbo2DiagRight | Track | Dirt
RoadDirtSpecialTurboRouletteDiagRight | Track | Dirt
RoadDirtSpecialBoostDiagRight | Track | Dirt
RoadDirtSpecialBoost2DiagRight | Track | Dirt
RoadDirtSpecialNoEngineDiagRight | Track | Dirt
RoadDirtSpecialNoSteeringDiagRight | Track | Dirt
RoadDirtSpecialSlowMotionDiagRight | Track | Dirt
RoadDirtSpecialFragileDiagRight | Track | Dirt
RoadDirtSpecialResetDiagRight | Track | Dirt
RoadDirtSpecialNoBrakeDiagRight | Track | Dirt
RoadDirtSpecialCruiseDiagRight | Track | Dirt
RoadDirtWave1X | Track | Dirt
RoadDirtDiagLeftWave1X | Track | Dirt
RoadDirtDiagRightWave1X | Track | Dirt
RoadDirtWave2X | Track | Dirt
RoadDirtDiagLeftWave2X | Track | Dirt
RoadDirtDiagRightWave2X | Track | Dirt
RoadTechNarrowSide | Track | Tech
RoadTechNarrowCenter | Track | Tech
RoadBumpStraight | Track | Bump
RoadBumpNarrowSide | Track | Bump
RoadBumpNarrowCenter | Track | Bump
RoadBumpBranchYShaped2x3 | Track | Bump
RoadBumpBranchTShaped | Track | Bump
RoadBumpBranchCross | Track | Bump
RoadBumpCurve1 | Track | Bump
RoadBumpCurve2 | Track | Bump
RoadBumpCurve3 | Track | Bump
RoadBumpCurve5 | Track | Bump
RoadBumpCurve4 | Track | Bump
RoadBumpBranchStraightX4Left | Track | Bump
RoadBumpBranchStraightX4Right | Track | Bump
RoadBumpBranchCurve3Right | Track | Bump
RoadBumpBranchCurve3Left | Track | Bump
RoadBumpSlopeBase | Track | Bump
RoadBumpSlopeBase2 | Track | Bump
RoadBumpSlopeBase2x1 | Track | Bump
RoadBumpSlopeStart2x1 | Track | Bump
RoadBumpSlopeStraight | Track | Bump
RoadBumpSlopeHole | Track | Bump
RoadBumpNarrowSlopeRight | Track | Bump
RoadBumpNarrowSlopeLeft | Track | Bump
RoadBumpNarrowSlopeCenter | Track | Bump
RoadBumpSlopeEnd2x1 | Track | Bump
RoadBumpSlopeUTop | Track | Bump
RoadBumpSlopeUBottom | Track | Bump
RoadBumpSlopeUBottomInGround | Track | Bump
RoadBumpSlopeUTopX2 | Track | Bump
RoadBumpSlopeUBottomX2 | Track | Bump
RoadBumpSlopeUBottomX2InGround | Track | Bump
RoadBumpTiltStraight | Track | Bump
RoadBumpTiltHole | Track | Bump
RoadBumpNarrowTiltRight | Track | Bump
RoadBumpNarrowTiltLeft | Track | Bump
RoadBumpNarrowTiltCenter | Track | Bump
RoadBumpTiltSwitchLeft | Track | Bump
RoadBumpTiltSwitchRight | Track | Bump
RoadBumpTiltCurve1Out | Track | Bump
RoadBumpTiltCurve1 | Track | Bump
RoadBumpTiltCurve2Out | Track | Bump
RoadBumpTiltCurve2 | Track | Bump
RoadBumpTiltCurve3Out | Track | Bump
RoadBumpTiltCurve3 | Track | Bump
RoadBumpTiltCurve4Out | Track | Bump
RoadBumpTiltCurve4 | Track | Bump
RoadBumpTiltCurve1DownLeft | Track | Bump
RoadBumpTiltCurve1DownRight | Track | Bump
RoadBumpTiltCurve1UpLeft | Track | Bump
RoadBumpTiltCurve1UpRight | Track | Bump
RoadBumpTiltCurve2DownLeft | Track | Bump
RoadBumpTiltCurve2DownRight | Track | Bump
RoadBumpTiltCurve2UpLeft | Track | Bump
RoadBumpTiltCurve2UpRight | Track | Bump
RoadBumpTiltTransition1UpLeft | Track | Bump
RoadBumpTiltTransition1DownLeft | Track | Bump
RoadBumpTiltTransition2UpLeft | Track | Bump
RoadBumpTiltTransition2DownLeft | Track | Bump
RoadBumpTiltTransition2UpLeftCurveIn | Track | Bump
RoadBumpTiltTransition2DownLeftCurveIn | Track | Bump
RoadBumpTiltTransition1UpRight | Track | Bump
RoadBumpTiltTransition1DownRight | Track | Bump
RoadBumpTiltTransition2UpRight | Track | Bump
RoadBumpTiltTransition2DownRight | Track | Bump
RoadBumpTiltTransition2UpRightCurveIn | Track | Bump
RoadBumpTiltTransition2DownRightCurveIn | Track | Bump
RoadBumpDiagLeftStraightX2 | Track | Bump
RoadBumpDiagLeftPenaltyIce | Track | Ice
RoadBumpDiagLeftPenaltyDirt | Track | Dirt
RoadBumpDiagLeftPenalty | Track | Bump
RoadBumpDiagLeftNarrowSide | Track | Bump
RoadBumpDiagLeftNarrowCenter | Track | Bump
RoadBumpDiagLeftHole | Track | Bump
RoadBumpDiagLeftStartStraightX2 | Track | Bump
RoadBumpDiagLeftStartCurve1In | Track | Bump
RoadBumpDiagLeftStartCurve2In | Track | Bump
RoadBumpDiagLeftStartCurve1Out | Track | Bump
RoadBumpDiagLeftStartCurve2Out | Track | Bump
RoadBumpDiagLeftLoop6X | Track | Bump
RoadBumpDiagLeftLoop11X | Track | Bump
RoadBumpDiagRightStraightX2 | Track | Bump
RoadBumpDiagRightPenaltyIce | Track | Ice
RoadBumpDiagRightPenaltyDirt | Track | Dirt
RoadBumpDiagRightPenalty | Track | Bump
RoadBumpDiagRightNarrowSide | Track | Bump
RoadBumpDiagRightNarrowCenter | Track | Bump
RoadBumpDiagRightHole | Track | Bump
RoadBumpDiagRightStartStraightX2 | Track | Bump
RoadBumpDiagRightStartCurve1In | Track | Bump
RoadBumpDiagRightStartCurve2In | Track | Bump
RoadBumpDiagRightStartCurve1Out | Track | Bump
RoadBumpDiagRightStartCurve2Out | Track | Bump
RoadBumpDiagRightLoop6X | Track | Bump
RoadBumpDiagRightLoop11X | Track | Bump
RoadBumpDiagSwitchCurve1Out | Track | Bump
RoadBumpDiagSwitchCurve2Out | Track | Bump
RoadBumpDiagSwitchStraightX1 | Track | Bump
RoadBumpDiagSwitchStraightX2 | Track | Bump
RoadBumpDiagSwitchCurve1In | Track | Bump
RoadBumpDiagSwitchCurve2In | Track | Bump
RoadBumpBranchToDiagLeft | Track | Bump
RoadBumpBranchToDiagRight | Track | Bump
RoadIceSpecialBoostSlopeDown | Track | Ice
RoadIceSpecialBoost2SlopeDown | Track | Ice
TrackWallToRoadTech | Track | Tech
TrackWallToRoadIce | Track | Ice
TrackWallToRoadDirt | Track | Dirt
TrackWallToRoadBump | Track | Bump
RoadTechToRoadBumpX2 | Track | Bump
RoadTechToRoadBumpDownX2 | Track | Bump
RoadTechToRoadBumpDown | Track | Bump
RoadTechToRoadBump | Track | Bump
RoadTechToRoadBumpSlopeUpX2 | Track | Bump
RoadTechToRoadBumpSlopeUp | Track | Bump
RoadTechToRoadBumpSlopeDownX2 | Track | Bump
RoadTechToRoadBumpSlopeDown | Track | Bump
RoadTechToRoadBumpTiltLeftX2 | Track | Bump
RoadTechToRoadBumpTiltLeft | Track | Bump
RoadTechToRoadBumpTiltRightX2 | Track | Bump
RoadTechToRoadBumpTiltRight | Track | Bump
RoadTechToRoadBumpDiagLeftStraightX2 | Track | Bump
RoadTechToRoadBumpDiagRightStraightX2 | Track | Bump
RoadBumpCheckpoint | Track | Bump
RoadBumpCheckpointSlopeUp | Track | Bump
RoadBumpCheckpointSlopeDown | Track | Bump
RoadBumpCheckpointTiltLeft | Track | Bump
RoadBumpCheckpointTiltRight | Track | Bump
RoadBumpDiagLeftCheckpoint | Track | Bump
RoadBumpDiagRightCheckpoint | Track | Bump
RoadBumpStart | Track | Bump
RoadBumpFinish | Track | Bump
RoadBumpMultilap | Track | Bump
RoadBumpDiagLeftMultilap | Track | Bump
RoadBumpDiagRightMultilap | Track | Bump
RoadBumpSpecialTurbo | Track | Bump
RoadBumpSpecialTurbo2 | Track | Bump
RoadBumpSpecialTurboRoulette | Track | Bump
RoadBumpSpecialBoost2 | Track | Bump
RoadBumpSpecialBoost | Track | Bump
RoadBumpSpecialNoEngine | Track | Bump
RoadBumpSpecialNoSteering | Track | Bump
RoadBumpSpecialSlowMotion | Track | Bump
RoadBumpSpecialFragile | Track | Bump
RoadBumpSpecialReset | Track | Bump
RoadBumpSpecialNoBrake | Track | Bump
RoadBumpSpecialCruise | Track | Bump
RoadBumpSpecialTurboSlopeUp | Track | Bump
RoadBumpSpecialBoostSlopeUp | Track | Bump
RoadBumpSpecialBoost2SlopeUp | Track | Bump
RoadBumpSpecialTurbo2SlopeUp | Track | Bump
RoadBumpSpecialTurboRouletteSlopeUp | Track | Bump
RoadBumpSpecialNoEngineSlope | Track | Bump
RoadBumpSpecialNoSteeringSlope | Track | Bump
RoadBumpSpecialSlowMotionSlope | Track | Bump
RoadBumpSpecialFragileSlope | Track | Bump
RoadBumpSpecialResetSlope | Track | Bump
RoadBumpSpecialNoBrakeSlope | Track | Bump
RoadBumpSpecialCruiseSlope | Track | Bump
RoadBumpSpecialTurboSlopeDown | Track | Bump
RoadBumpSpecialBoostSlopeDown | Track | Bump
RoadBumpSpecialBoost2SlopeDown | Track | Bump
RoadBumpSpecialTurbo2SlopeDown | Track | Bump
RoadBumpSpecialTurboRouletteSlopeDown | Track | Bump
RoadBumpSpecialTurboTiltLeft | Track | Bump
RoadBumpSpecialBoostTiltLeft | Track | Bump
RoadBumpSpecialBoost2TiltLeft | Track | Bump
RoadBumpSpecialTurbo2TiltLeft | Track | Bump
RoadBumpSpecialTurboRouletteTiltLeft | Track | Bump
RoadBumpSpecialNoEngineTilt | Track | Bump
RoadBumpSpecialNoSteeringTilt | Track | Bump
RoadBumpSpecialSlowMotionTilt | Track | Bump
RoadBumpSpecialFragileTilt | Track | Bump
RoadBumpSpecialResetTilt | Track | Bump
RoadBumpSpecialNoBrakeTilt | Track | Bump
RoadBumpSpecialCruiseTilt | Track | Bump
RoadBumpSpecialTurboTiltRight | Track | Bump
RoadBumpSpecialBoostTiltRight | Track | Bump
RoadBumpSpecialBoost2TiltRight | Track | Bump
RoadBumpSpecialTurbo2TiltRight | Track | Bump
RoadBumpSpecialTurboRouletteTiltRight | Track | Bump
